customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,customer_segment
4380,700.0,1,342.82,1,1,1,Lost
4179,696.0,1,11545.05,1,1,2,Lost
2650,690.0,1,3010.1,1,1,1,Lost
484,690.0,1,6127.57,1,1,1,Lost
4272,689.0,1,1744.08,1,1,1,Lost
1623,688.0,1,486.4,1,1,1,Lost
3428,687.0,1,4917.74,1,1,1,Lost
3498,686.0,1,779.37,1,1,1,Lost
1959,685.0,1,7485.75,1,1,1,Lost
1017,684.0,1,10110.84,1,1,1,Lost
937,684.0,1,10446.22,1,1,1,Lost
193,680.0,1,4117.19,1,1,1,Lost
3534,675.0,1,11238.59,1,1,2,Lost
3970,668.0,1,1914.53,1,1,1,Lost
2417,668.0,2,12074.859999999999,1,2,2,Lost
1828,667.0,1,4846.88,1,1,1,Lost
345,667.0,1,9836.44,1,1,1,Lost
3645,667.0,2,15034.46,1,2,2,Lost
3697,666.0,1,3143.69,1,1,1,Lost
4753,666.0,1,8271.66,1,1,1,Lost
2852,665.0,2,10406.61,1,1,1,Lost
1254,664.0,1,1813.02,1,1,1,Lost
2321,662.0,2,12376.83,1,2,2,Lost
4963,661.0,1,7861.51,1,1,1,Lost
2731,660.0,1,1681.94,1,1,1,Lost
3986,660.0,1,11855.41,1,1,2,Lost
3615,655.0,1,5743.63,1,1,1,Lost
2487,654.0,1,1328.5,1,1,1,Lost
1246,653.0,1,7626.86,1,1,1,Lost
333,651.0,2,14855.28,1,2,2,Lost
3669,650.0,1,2927.55,1,1,1,Lost
2884,650.0,1,11486.25,1,1,2,Lost
4578,649.0,1,6025.11,1,1,1,Lost
3053,648.0,1,1324.44,1,1,1,Lost
2177,648.0,2,10278.32,1,1,1,Lost
2041,645.0,1,1539.52,1,1,1,Lost
4310,644.0,1,3377.01,1,1,1,Lost
2835,643.0,1,580.98,1,1,1,Lost
3066,642.0,1,10173.68,1,1,1,Lost
4360,642.0,2,9765.96,1,1,1,Lost
4111,637.0,1,729.6,1,1,1,Lost
3220,635.0,1,8763.3,1,1,1,Lost
